,huc12,i,j,wght
326,020402050803,20,27,0.0634693897758415
327,020402050803,21,26,0.016760935462236896
328,020402050803,20,26,0.1535293879796409
329,020402050803,19,26,0.07033570628322758
330,020402050803,19,25,0.17019911389514064
331,020402050803,18,25,0.12239269247211457
332,020402050803,17,25,0.03282994490338303
333,020402050803,19,24,0.04007490652191947
334,020402050803,20,25,0.03050229517863039
335,020402050803,18,24,0.1769311487137453
336,020402050803,17,24,0.09672617256865265
337,020402050803,18,23,0.025485775396548296
338,020402050803,17,23,0.000762530848915171
339,020401040603,70,24,0.03534510103768928
340,020401040603,69,24,0.05746629996187409
341,020401040603,68,24,0.14695860109812797
342,020401040603,70,23,0.0070860831591058005
343,020401040603,69,23,0.25864529580710016
344,020401040603,68,23,0.241087809957633
345,020401040603,69,22,0.19448181906033724
346,020401040603,68,22,0.058928989918131884
347,020402030602,46,11,0.02194653249811134
348,020402030602,45,11,0.07235726144940163
349,020402030602,44,11,0.0007862866025408982
350,020402030602,47,10,0.017223741777005183
351,020402030602,46,10,0.23067599948063952
352,020402030602,45,10,0.20284785153731832
353,020402030602,44,10,0.0030358952355404797
354,020402030602,47,9,0.008088636978253648
355,020402030602,46,9,0.22782505547299317
356,020402030602,45,9,0.18254302636553207
357,020402030602,46,8,0.02754767278574298
358,020402030602,45,8,0.005122039816920642
359,020401020202,92,26,0.009883537013696882
360,020401020202,93,25,0.055791059684341456
361,020401020202,92,25,0.06342874301207345
362,020401020202,93,24,0.03978679436187039
363,020401020202,93,26,0.009546025951376694
364,020401020202,92,24,0.12726777101157496
365,020401020202,91,24,0.036058023233893205
366,020401020202,93,23,0.08577982503592256
367,020401020202,92,23,0.13096040713494123
368,020401020202,91,23,0.09752288557178236
369,020401020202,90,23,0.00420615809181859
370,020401020202,93,22,0.05101875345718161
371,020401020202,92,22,0.13057561771849735
372,020401020202,91,22,0.11157361832277284
373,020401020202,90,22,0.03480454617589847
374,020401020202,93,21,0.004594896178885544
375,020401020202,92,21,0.007201338043472698
376,020402050501,25,23,0.005720173939858699
377,020402050501,24,23,0.0020248858775321283
378,020402050501,25,22,0.12214731421688912
379,020402050501,24,22,0.3416764950393717
380,020402050501,25,21,0.08855897979795647
381,020402050501,23,22,0.05058898155490875
382,020402050501,23,21,0.0019214112742576774
383,020402050501,24,21,0.3634896385062086
384,020402050501,24,20,0.023872119793017177
385,020401030602,76,23,0.007719574270747837
386,020401030602,74,22,0.1170934974556717
387,020401030602,73,22,0.0008506160261085411
388,020401030602,74,21,0.20823085203601027
389,020401030602,73,21,0.09323563658148455
390,020401030602,72,21,0.0021379759820012393
391,020401030602,77,22,0.016699854049887566
392,020401030602,76,22,0.1822819601910701
393,020401030602,75,22,0.15931219158186286
394,020401030602,76,21,0.012892742641072354
395,020401030602,75,21,0.10199335311864174
396,020401030602,75,20,0.0037000768863838357
397,020401030602,74,20,0.061610251885193396
398,020401030602,73,20,0.03224141729386533
399,020401050703,49,30,0.002275182983096797
400,020401050703,50,29,0.029181574928398343
401,020401050703,49,29,0.2267329063900525
402,020401050703,48,29,0.06693112681958621
403,020401050703,50,28,0.003488409878529782
404,020401050703,49,28,0.16045971506601334
405,020401050703,48,28,0.22052847441920267
406,020401050703,47,28,0.05959980020263614
407,020401050703,49,27,0.010043044069204678
408,020401050703,48,27,0.13550273608955551
409,020401050703,47,27,0.0852570291537253
410,020401060308,58,12,0.09343397555140087
411,020401060308,57,12,0.13451507143468414
412,020401060308,58,11,0.060733740663305044
413,020401060308,57,11,0.1874946443146167
414,020401060308,56,12,0.004604918647546631
415,020401060308,56,11,0.04561878130652915
416,020401060308,56,10,0.12352321271532908
417,020401060308,55,10,4.711911801279485e-05
418,020401060308,57,10,0.12642813996974508
419,020401060308,57,9,0.0006906086876636138
420,020401060308,56,9,0.1171274254329739
421,020401060308,55,9,0.06312634875425996
422,020401060308,56,8,0.012623568949623281
423,020401060308,55,8,0.03003244445430961
424,020401040501,82,25,0.00736207770421241
425,020401040501,81,25,0.09033244256901149
426,020401040501,80,25,0.09191043950431466
427,020401040501,82,24,0.07389530306881102
428,020401040501,81,24,0.21437225227130924
429,020401040501,80,24,0.23245456672680417
430,020401040501,81,23,0.001252395849570594
